,student_name,student_id,major,period,grade,passed_subject,get_subject
0,윤수연,2021109952,기계공학과,2,1,"['FSB394-00', 'GEC1105-G21', 'IS1002-00', 'ME351-02', 'ME202-02', 'PM1019-05']","[['GEC1104-G27', '9:00', '11:45'], ['GED1909-G00', '15:00', '16:15'], ['GED1957-G01', '16:30', '17:45'], ['GEC2001-G26', '12:00', '13:15']]"
1,장동준,2012884910,기계공학과,8,4,"['CPE401-03', 'SC317-00', 'AMTH1004-08', 'TK201-01', 'CPE201-14', 'SC209-00', 'PM4025-19', 'APCH1131-02', 'GEC1105-G49', 'ELC204-00', 'EE364-00', 'TK307-02', 'PM3022-13', 'APHY1002-23', 'PM1012-00', 'TK308-01', 'GEC1102-G07', 'EE201-00', 'KO1402-00', 'TK104-01', 'CPE108-01', 'CPE101-04', 'PE107-01', 'PE216-00']","[['GED1353-G00', '12:00', '13:15'], ['GEC1102-G45', '13:30', '14:45'], ['GEC1102-G06', '9:00', '10:15'], ['GEC1105-G11', '12:00', '13:15'], ['GEE1344-G02', '9:00', '11:45'], ['GEE1345-G01', '9:00', '11:45']]"
2,김혜리,2013829875,기계공학과,6,3,"['GEN202-00', 'AMIE394-03', 'GEE1961-G01', 'FD105-03', 'CPE401-15', 'APCH1121-00', 'GEC1104-G44', 'GEC1104-G28', 'CHE453-01', 'KO4105-00', 'CPE301-01', 'TK104-01', 'TK101-02', 'CPE201-05', 'GEN301-00', 'FT4072-00', 'SWCON311-00', 'GEE1642-G00']","[['GED1301-G00', '15:00', '16:15'], ['GEE1961-G01', '10:30', '11:45'], ['GED1621-G00', '10:30', '11:45'], ['GEC1102-G09', '10:30', '11:45']]"
3,윤소미,2011133467,기계공학과,7,4,"['JP111-00', 'CPE301-05', 'IS2001-00', 'CDG3278-00', 'PE102-01', 'PM4025-19', 'SM301-00', 'FT2070-00', 'AMTH1002-09', 'SWCON311-00', 'ME231-02', 'BME412-04', 'CSE304-02', 'DC403-00', 'GEC1105-G14', 'JP111-01', 'FR1013-00', 'FSB304-00', 'PAM215-00', 'AMTH1002-11', 'PM1012-00', 'ME312-04', 'GEC1403-G06', 'CPE201-03']","[['GED1940-G00', '9:00', '11:45'], ['GEC1403-G23', '13:30', '14:45'], ['GED1955-G00', '15:00', '17:45'], ['GEC1104-G33', '12:00', '14:45'], ['GED1242-G00', '16:30', '17:45']]"
4,정효림,2016402563,기계공학과,5,3,"['ELC411-00', 'GEE1344-G00', 'GEC1403-G38', 'APHY3200-00', 'TK210-01', 'GED1465-G00', 'GEC1104-G28', 'AE112-00', 'GED1945-G00', 'GEN409-00', 'GEE1960-G00', 'EDU3198-G00', 'GI205-01', 'GEC0103-G01', 'FD103-02']","[['GEE1625-G00', '9:00', '10:15'], ['GEC1104-G14', '12:00', '14:45'], ['GEC1105-G15', '15:00', '16:15'], ['GEE1605-G00', '13:00', '14:50'], ['EDU3103-G00', '11:00', '12:50'], ['GEC2001-G40', '15:00', '17:45']]"
5,조수민,2016680479,기계공학과,6,3,"['EE210-01', 'GED1819-G00', 'PM3022-02', 'GEC2001-G04', 'FT2066-00', 'CSE304-02', 'JP476-00', 'CHE132-02', 'CDG0265-00', 'FT3035-00', 'NE441-00', 'PE313-00']","[['GEE1330-G04', '18:00', '20:00'], ['GEC1403-G38', '18:00', '20:25'], ['GED1113-G01', '15:00', '16:15'], ['GEE1648-G01', '18:00', '19:50'], ['GEE1642-G01', '15:00', '16:50'], ['GEC1102-G50', '15:00', '16:15']]"
6,이아정,2021206037,기계공학과,2,1,"['GEE1345-G02', 'GED1301-G00', 'GEC1102-G30', 'APHY3200-00']","[['GEE1665-G00', '15:00', '16:50'], ['GEC2001-G25', '12:00', '13:15'], ['GED1993-G00', '10:30', '11:45'], ['IPE108-00', '9:00', '11:45']]"
7,김영준,2018011580,기계공학과,7,4,"['VID3028-00', 'GED1959-G00', 'IS2204-01', 'CPE301-07', 'GEC1104-G22', 'AMIE396-01', 'OMB312-00', 'ME202-03', 'PM3022-02', 'BME203-00', 'KO4304-00', 'GED1502-G01', 'GEE1332-G00', 'AMTH1002-06', 'CA2018-00', 'CSE405-00', 'IS1002-00', 'APHY2105-00', 'PM1003-01', 'ELC464-00']","[['GED1508-G01', '10:30', '11:45'], ['GED1212-G00', '10:30', '11:45'], ['GEC1105-G16', '15:00', '16:15'], ['GEC1102-G49', '15:00', '16:15'], ['GED1657-G00', '15:00', '17:45'], ['GEC1104-G00', '9:00', '11:45']]"
8,한서현,2021959537,기계공학과,1,1,"['PM4020-00', 'FD105-01', 'AMIE352-00', 'ENV491-01']","[['GEE1267-G00', '10:30', '11:45'], ['GEC1102-G14', '12:00', '13:15'], ['GED1206-G00', '15:00', '16:15'], ['GED1202-G00', '13:30', '14:45'], ['GEC1403-G08', '12:00', '13:15'], ['GEC2001-G33', '16:30', '17:45']]"
9,윤여름,2021820668,기계공학과,1,1,"['NE443-00', 'CA4011-00', 'GED1959-G01', 'APHY2104-00', 'FT3047-00', 'PM3022-19']","[['GEE1958-G00', '9:00', '10:15'], ['GEB1301-G00', '15:00', '17:45'], ['GEE1267-G00', '10:30', '11:45'], ['GEE1344-G02', '9:00', '11:45'], ['GEC1102-G54', '16:30', '17:45']]"
10,서여은,2021050842,기계공학과,1,1,"['VID3028-00', 'JP232-00', 'PAM311-00', 'APHY1002-07']","[['GEC1403-G20', '12:00', '13:15'], ['GEC1105-G47', '12:00', '14:45'], ['GED1717-G00', '13:30', '14:45'], ['GEC2001-G22', '10:30', '11:45'], ['GED1362-G00', '10:30', '11:45'], ['GED1947-G00', '10:30', '13:15']]"
11,박슬,2021669974,기계공학과,1,1,"['EE361-01', 'EE497-05', 'AMTH1002-11', 'APHY4403-00', 'PM4025-03', 'ME305-02']","[['GEE1961-G00', '10:30', '11:45'], ['GEC1105-G24', '10:30', '11:45'], ['GEE1667-G01', '9:00', '10:50'], ['GED1862-G00', '12:00', '14:45'], ['GEE1652-G00', '10:30', '12:20'], ['GEC1104-G42', '12:00', '14:45']]"
12,이준성,2013515579,기계공학과,6,3,"['HBT406-00', 'CPE301-13', 'CE351-02', 'IPE108-00', 'GEC1403-G05', 'GED1987-G00', 'PM2023-01', 'SC402-01', 'FR2011-00', 'BME415-00', 'CPE301-14', 'APHY1000-07', 'AR111-02', 'EE212-00', 'AE473-01', 'CPE301-15', 'IS1004-00', 'SC305-01']","[['GEC1102-G34', '10:30', '11:45'], ['GED1717-G02', '10:30', '11:45'], ['EDU4103-G01', '11:00', '12:50'], ['GEC1102-G11', '10:30', '11:45'], ['GEC1403-G11', '15:00', '16:15']]"
13,박우성,2017140658,기계공학과,3,2,"['GED1223-G00', 'PM2023-03', 'PE306-01', 'CHE355-00', 'GED1435-G00', 'CPE401-11', 'EE201-01', 'APHY2000-00']","[['GED1984-G00', '12:00', '13:15'], ['GEC2001-G05', '12:00', '13:15'], ['GED1995-G00', '15:00', '16:15'], ['GEC1102-G11', '10:30', '11:45'], ['GEC1104-G28', '9:00', '11:45']]"
14,강윤슬,2011803881,기계공학과,3,2,"['EE497-03', 'GEC1104-G15', 'EE213-01', 'GED1959-G04', 'IS1002-00', 'ESP207-01', 'AR111-04', 'GEC1104-G20', 'IE320-00', 'GEC1102-G26', 'EDU2102-G01', 'GED1208-G00']","[['GEC1105-G32', '13:30', '14:45'], ['GED1208-G00', '9:00', '11:45'], ['GED1819-G00', '9:00', '11:45'], ['GEE1960-G01', '9:00', '10:15']]"
15,정은혜,2018968611,기계공학과,8,4,"['ME435-01', 'BME213-00', 'GEC1104-G03', 'EDU3343-G00', 'GEC1403-G11', 'FR3034-00', 'OMB312-00', 'EE363-00', 'SC301-01', 'GEC1403-G37', 'EE444-00', 'AMTH1004-10', 'GEE1613-G00', 'LA326-00', 'GEC2001-G35', 'GEC1102-G09', 'CPE301-10', 'PM3022-12', 'AMTH1009-08', 'PM2023-12']","[['GED1502-G01', '15:00', '17:45'], ['GEC1105-G50', '15:00', '17:45'], ['GEC1105-G25', '10:30', '11:45'], ['GEC1104-G39', '9:00', '11:45'], ['GED1240-G01', '13:30', '14:45']]"
16,김루리,2021679732,기계공학과,1,1,"['GEC2001-G35', 'CPE104-01', 'FD111-00', 'GEC1102-G04', 'ELC359-00']","[['GED1240-G00', '10:30', '11:45'], ['GED1961-G00', '12:00', '13:15'], ['GEC1101-G02', '10:30', '11:45'], ['GEC2001-G28', '13:30', '14:45'], ['GEC1102-G08', '10:30', '11:45'], ['GEC1403-G19', '10:30', '11:45']]"
17,장신우,2019089849,기계공학과,5,3,"['AMIE475-00', 'AT301-00', 'AR411-04', 'IS4102-00', 'ME312-02', 'GEC2001-G18', 'AMTH1002-03', 'ESP318-00', 'CPE301-04', 'PE308-01', 'SC311-00', 'DC207-01', 'JP113-01', 'APHY1002-20', 'GED1738-G00', 'GED1537-G00', 'CE485-01', 'GED1544-G00']","[['GEC2001-G30', '15:00', '16:15'], ['GEC2001-G31', '15:00', '16:15'], ['GEC1102-G02', '12:00', '14:45'], ['GEC1104-G39', '9:00', '11:45'], ['GEC1102-G00', '9:00', '11:45']]"
18,윤선호,2021053205,기계공학과,2,1,"['PE205-01', 'TK101-02', 'CDG3262-00', 'FT4057-00', 'GEC2001-G30', 'GEC1104-G10']","[['GEC1403-G26', '13:30', '14:45'], ['GEC1102-G42', '12:00', '13:15'], ['GEC1403-G32', '16:30', '17:45'], ['GED1432-G00', '13:30', '14:45'], ['GEC1105-G35', '15:00', '16:15']]"
19,김영우,2012930886,기계공학과,8,4,"['GEC0103-G03', 'GED1908-G00', 'GEC1102-G33', 'CE485-01', 'CPE108-04', 'CPE401-05', 'TK102-02', 'GEC1105-G05', 'GEC2001-G31', 'FT4057-00', 'CPE401-06', 'RU1103-02', 'PM2015-00', 'ENV171-00', 'GED1959-G03', 'GEE1958-G00']","[['GEC1105-G36', '15:00', '16:15'], ['GEC1102-G12', '12:00', '13:15'], ['GEE1615-G00', '10:30', '12:20'], ['GEE1344-G02', '9:00', '11:45']]"
20,한준용,2021743121,기계공학과,1,1,"['AR511-02', 'GI404-01', 'CHE232-03', 'RU3202-00', 'GEN324-00', 'GEC1104-G12']","[['GEC1102-G44', '13:30', '14:45'], ['GED1929-G00', '9:00', '11:45'], ['GEC1104-G30', '12:00', '14:45'], ['GEC1104-G26', '15:00', '17:45']]"
21,조서아,2014245296,기계공학과,6,3,"['CPE201-02', 'AMIE394-02', 'FD111-02', 'GEC1105-G38', 'FD101-01', 'FD105-01', 'ESP309-00', 'GI303-01', 'ENV491-01', 'PAM311-00', 'CHE251-01', 'PE105-01', 'CSE224-00', 'FT3035-00', 'TK203-02', 'ELC257-00', 'GED1432-G01', 'CPE101-09']","[['GEE1332-G00', '12:00', '12:50'], ['GED1960-G01', '15:00', '16:15'], ['GED1961-G00', '12:00', '13:15'], ['GEC1105-G19', '9:00', '10:15']]"
22,한소예,2011512820,기계공학과,6,3,"['GE4001-00', 'APCH2301-00', 'EDU3106-G00', 'ENV212-01', 'GEC0103-G09', 'GEB1202-G00', 'SPACE231-00', 'CPE201-12', 'GEE1961-G01', 'CA2019-00', 'GEC2001-G07', 'CSE340-00']","[['GEC1102-G02', '12:00', '14:45'], ['GED1961-G00', '12:00', '13:15'], ['GEC1403-G20', '12:00', '13:15'], ['GED1467-G00', '10:30', '11:45'], ['GED1306-G00', '16:30', '17:45']]"
23,이정환,2011745181,기계공학과,3,2,"['JP272-00', 'FD111-01', 'GEE1670-G00', 'GED1357-G00', 'SWCON311-00', 'CPE104-04', 'GED1240-G01', 'GE4001-00']","[['GEC1403-G34', '9:00', '11:45'], ['GEC1102-G27', '16:30', '17:45'], ['GEB1101-G02', '12:00', '13:15'], ['GED1664-G00', '15:00', '16:15'], ['GEC1105-G43', '9:00', '11:45']]"
